table,field_name,field_key,reads,writes,searches,unused,contexts,ambiguity
News,__page,page_boolean,8,4,0,,elem:r_admin_news; page:legal; page:mypage,"キー共有: FV, Banner"
News,external url,external_url_text,31,4,0,,elem:news; elem:r_admin_fv; elem:r_admin_news; elem:r_admin_topic; page:index; page:legal; page:mypage,"キー共有: FV, Banner"
News,page content,page_content_text,24,4,0,,elem:news; elem:r_admin_fv; elem:r_admin_news; elem:r_admin_topic; elem:topic; page:index; page:legal; page:mypage,"キー共有: FV, Banner"
News,title,title_text,22,4,0,,elem:faq; elem:news; elem:r_admin_faq; elem:r_admin_fv; elem:r_admin_news; elem:r_admin_topic; elem:topic; page:index; page:legal; page:mypage,"キー共有: FV, FAQ, Banner, q&a_category"
notification,__shop,shop_user,117,0,2,,page:legal; page:mypage; privacy:notification,"キー共有: sales_record, Bicycle, __Prefecture, Price_menu, Sub_Option"
notification,claim,___custom_______,0,0,0,未使用,,
notification,contact,_______custom_________1,0,0,0,未使用,,
notification,is_read?,viewed_boolean,1,1,2,,elem:r_admin_header; elem:r_admin_notice_list,
notification,role,right_option_rights,95,3,2,,api:bulk_create_shop; api:send_reset_pass_mail; elem:r_admin_contact; elem:r_admin_customer_info; elem:r_admin_header; elem:r_admin_notice_list; elem:r_admin_reservation; elem:r_admin_sales; elem:r_admin_sidebar; elem:r_admin_signin; elem:r_shop_info; page:admin; page:admin_price_simulation; page:legal; page:mypage; page:shop_form; privacy:Bicycle; privacy:Price_menu; privacy:Sub_Option; privacy:User; privacy:__access_log; privacy:__銀行口座; privacy:contact; privacy:log; privacy:maintenance; privacy:notification; privacy:reservation; privacy:reservation_detail; privacy:rider_info; privacy:sales_record,キー共有: User
notification,shop,shop_custom_shop,199,3,36,,api:bulk_update_bicyle; api:cancel_reservation; api:create_reservation_option; api:create_reserve_and_detail; api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; elem:  r_shop_option; elem:bicycle; elem:bicycle_item; elem:cart; elem:r_admin_header; elem:r_admin_notice_list; elem:r_admin_reservation; elem:r_admin_sales; elem:shop; elem:user_reservation_detail; page:bicycle_detail; page:index; page:search; page:shop_detail; page:user_reservation_list; privacy:Sub_Option; privacy:reservation; privacy:reservation_detail; privacy:sales_record,"キー共有: reservation, User, sales_record, shop_holiday, Bicycle, reservation_detail, Price_menu, Sub_Option"
notification,type,news_type_option________news_type,3,0,0,,elem:r_admin_notice_list,
Price_menu,__four weeks price,four_weeks_price_number,0,1,0,,elem:  r_shop_option,"キー共有: Bicycle, Sub_Option"
Price_menu,__Shop,shop_user,117,0,2,,page:legal; page:mypage; privacy:notification,"キー共有: sales_record, Bicycle, __Prefecture, Sub_Option, notification"
Price_menu,__three weeks price,three_weeks_price_number,0,0,0,未使用,,
Price_menu,__two weeks price,two_weeks_price_number,0,0,0,未使用,,
Price_menu,ex_1day,more_a_day_price_number,13,9,0,,api:create_reservation_option; api:edit_bicycle; api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; elem:  r_shop_option; elem:r_admin_price; elem:r_admin_reservation; elem:r_shop_bicycle,"キー共有: Bicycle, Sub_Option"
Price_menu,ex_1hour,more_a_hour_number,5,7,0,,api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; elem:r_admin_price; elem:r_admin_reservation; elem:r_shop_bicycle,
Price_menu,is_default?,default_boolean,0,2,2,,api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; elem:r_admin_price; elem:r_shop_bicycle,
Price_menu,is_simulation?,for_simulation_boolean,0,3,7,,api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; elem:r_admin_price; elem:r_shop_bicycle,
Price_menu,name,name_text,269,13,3,,api:bulk_update_bicyle; api:cancel_reservation; api:change_shop_info; api:create_user_info; api:edit_bicycle; api:payjp_webhook_update_talent; elem:  r_shop_option; elem:bicycle_item; elem:cart; elem:r_admin_contact; elem:r_admin_customer_info; elem:r_admin_price; elem:r_admin_reservation; elem:r_admin_sales; elem:r_admin_shop_list; elem:r_shop_bicycle; elem:r_shop_info; elem:search_area; elem:shop; elem:user_reservation_detail; elem:userinfo; page:bicycle_detail; page:legal; page:mypage; page:shop_detail; page:user_reservation_list,"キー共有: shop, User, rider_info, Bicycle, __Prefecture, Sub_Option"
Price_menu,price_14day_intax,14____________number,196,4,0,,api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; elem:r_admin_contact; elem:r_admin_customer_info; elem:r_admin_price; elem:r_admin_reservation; elem:r_shop_bicycle; page:admin_price_simulation,
Price_menu,price_1day_intax,a_hour_price_number,83,9,0,,api:bUoRI0; api:create_reservation_option; api:edit_bicycle; api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; elem:  r_shop_option; elem:bicycle_item; elem:r_admin_contact; elem:r_admin_customer_info; elem:r_admin_price; elem:r_admin_reservation; elem:r_shop_bicycle; page:admin_price_simulation; page:bicycle_detail; page:legal; page:mypage,"キー共有: Bicycle, Sub_Option"
Price_menu,price_2day_intax,a_week_price_number,216,9,0,,api:bUoQx0; api:create_reservation_option; api:edit_bicycle; api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; elem:  r_shop_option; elem:bicycle_item; elem:r_admin_contact; elem:r_admin_customer_info; elem:r_admin_price; elem:r_admin_reservation; elem:r_shop_bicycle; page:admin_price_simulation; page:bicycle_detail; page:legal; page:mypage,"キー共有: Bicycle, Sub_Option"
Price_menu,price_30day_intax,30____________number,168,4,0,,api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; elem:r_admin_contact; elem:r_admin_customer_info; elem:r_admin_price; elem:r_admin_reservation; elem:r_shop_bicycle; page:admin_price_simulation,
Price_menu,price_3day_intax,a_month_price_number,395,8,0,,api:bUoRT0; api:create_reservation_option; api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; elem:  r_shop_option; elem:bicycle_item; elem:r_admin_contact; elem:r_admin_customer_info; elem:r_admin_price; elem:r_admin_reservation; elem:r_shop_bicycle; page:admin_price_simulation; page:bicycle_detail; page:legal; page:mypage,"キー共有: Bicycle, Sub_Option"
